,0,1,2,3,4,5,6,7,8,9
0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
24,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8.0,1.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
33,6.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
35,7.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
36,7.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
38,6.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
39,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,9.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
46,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
54,7.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
55,4.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
56,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
57,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
58,9.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,9.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
62,5.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
63,5.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
67,5.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
69,8.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
70,4.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
71,4.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
72,5.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
73,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
74,5.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
76,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
77,7.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
78,6.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
