,0,1,2,3
0,4.0,0.0,3.0,8.0
1,5.0,0.0,5.0,5.0
2,8.0,1.0,9.0,7.0
3,6.0,0.0,3.0,10.0
4,8.0,1.0,9.0,3.0
5,1.0,0.0,1.0,9.0
6,5.0,0.0,4.0,8.0
7,7.0,1.0,8.0,6.0
8,6.0,1.0,7.0,6.0
9,2.0,0.0,8.0,2.0
10,8.0,0.0,9.0,4.0
11,6.0,1.0,4.0,4.0
12,9.0,0.0,9.0,2.0
13,4.0,1.0,2.0,6.0
14,1.0,0.0,2.0,1.0
15,1.0,1.0,2.0,1.0
16,5.0,0.0,5.0,5.0
17,4.0,0.0,3.0,4.0
18,5.0,0.0,8.0,4.0
19,5.0,1.0,2.0,3.0
20,4.0,0.0,3.0,7.0
21,8.0,0.0,6.0,5.0
22,3.0,1.0,4.0,3.0
23,5.0,0.0,2.0,10.0
24,5.0,1.0,1.0,8.0
25,8.0,0.0,6.0,5.0
26,5.0,1.0,2.0,5.0
27,3.0,0.0,7.0,4.0
28,5.0,1.0,10.0,3.0
29,7.0,0.0,4.0,6.0
30,5.0,0.0,3.0,8.0
31,4.0,1.0,2.0,9.0
32,1.0,1.0,4.0,5.0
33,7.0,0.0,5.0,8.0
34,4.0,0.0,2.0,8.0
35,7.0,0.0,7.0,9.0
36,2.0,0.0,1.0,2.0
37,4.0,0.0,4.0,8.0
38,3.0,0.0,5.0,5.0
39,7.0,0.0,7.0,4.0
40,8.0,0.0,8.0,3.0
41,3.0,0.0,1.0,8.0
42,4.0,0.0,2.0,8.0
43,9.0,0.0,4.0,9.0
44,1.0,1.0,2.0,8.0
45,9.0,1.0,10.0,6.0
46,1.0,0.0,4.0,1.0
47,2.0,1.0,1.0,4.0
48,1.0,1.0,2.0,2.0
49,8.0,0.0,8.0,7.0
50,8.0,1.0,4.0,7.0
51,7.0,0.0,10.0,5.0
52,1.0,1.0,1.0,9.0
53,2.0,1.0,1.0,8.0
54,6.0,0.0,5.0,2.0
55,5.0,1.0,2.0,9.0
56,4.0,0.0,4.0,4.0
57,5.0,0.0,5.0,4.0
58,3.0,1.0,1.0,2.0
59,1.0,1.0,1.0,6.0
60,3.0,0.0,2.0,4.0
61,5.0,0.0,2.0,10.0
62,7.0,0.0,7.0,7.0
63,9.0,0.0,7.0,1.0
64,2.0,1.0,9.0,1.0
65,8.0,0.0,10.0,3.0
66,4.0,0.0,4.0,8.0
67,9.0,0.0,8.0,2.0
68,10.0,0.0,10.0,7.0
69,3.0,0.0,7.0,7.0
70,2.0,0.0,1.0,4.0
71,7.0,1.0,4.0,5.0
72,4.0,0.0,2.0,7.0
73,2.0,1.0,1.0,9.0
74,6.0,1.0,4.0,7.0
75,1.0,0.0,1.0,2.0
76,3.0,0.0,3.0,8.0
77,9.0,1.0,8.0,3.0
78,7.0,1.0,7.0,7.0
79,2.0,0.0,2.0,5.0
